disease	SnoRNA	Score
77	26	0.9782126903507361
29	37	0.9782126903507361
9	133	0.978110703417232
11	165	0.9780720422445605
11	149	0.9780720422445605
11	52	0.9780720422445605
99	273	0.9778850149520881
74	236	0.9778714600522654
88	40	0.9778521060176653
88	139	0.9778521060176653
21	330	0.9778456192078084
37	42	0.9778055918547696
82	274	0.977778390049538
11	281	0.977778390049538
11	274	0.977778390049538
82	281	0.977778390049538
88	202	0.9777193857791082
34	91	0.9776270653808498
9	120	0.9775741972938151
9	55	0.9775741972938151
9	51	0.9775741972938151
9	116	0.9775741972938151
9	77	0.9775741972938151
46	33	0.9775460637375374
74	29	0.9774278739866213
11	210	0.9774263082235203
23	331	0.9774070758711174
9	124	0.9771069019683304
23	198	0.9769261244201668
91	309	0.97681792591777
11	113	0.9767958930474764
42	113	0.9767958930474764
110	113	0.9767958930474764
54	10	0.9767824863433573
65	41	0.9767665448672987
81	41	0.9767665448672987
110	96	0.976714025386433
11	108	0.9766428499455718
82	108	0.9766428499455718
110	2	0.9766428499455718
82	244	0.9766428499455718
110	90	0.9766428499455718
11	58	0.9766428499455718
110	129	0.9766428499455718
110	92	0.9766428499455718
110	108	0.9766428499455718
110	244	0.9766428499455718
11	90	0.9766428499455718
11	132	0.9766428499455718
11	74	0.9766428499455718
110	58	0.9766428499455718
11	2	0.9766428499455718
11	129	0.9766428499455718
110	74	0.9766428499455718
82	2	0.9766428499455718
11	92	0.9766428499455718
77	264	0.976618560010256
21	273	0.9766157648611787
110	28	0.9765097585753207
11	28	0.9765097585753207
82	28	0.9765097585753207
24	155	0.9764377721810055
24	157	0.9764377721810055
24	310	0.9764377721810055
78	42	0.9763827986374756
78	33	0.9763827986374756
82	88	0.9763593817540399
23	95	0.9762130297011749
91	6	0.9761991084351288
23	280	0.9760550112110876
21	247	0.9759682299833753
21	207	0.9758056170225976
38	277	0.9758050532532536
55	324	0.9758050532532536
2	324	0.9758050532532536
38	324	0.9758050532532536
55	277	0.9758050532532536
2	277	0.9758050532532536
11	306	0.9757154388429515
42	293	0.9757063526400885
42	218	0.9757063526400885
42	237	0.9757063526400885
11	218	0.9757063526400885
11	237	0.9757063526400885
34	87	0.975699118798838
24	153	0.9756787191113493
24	207	0.9756787191113493
74	19	0.9755964753266043
99	19	0.9755964753266043
7	19	0.9755964753266043
23	241	0.9755452105352684
23	231	0.9755452105352684
23	308	0.9755452105352684
23	263	0.9755452105352684
21	136	0.9755254964402698
96	33	0.975317085234002
96	31	0.975317085234002
96	30	0.975317085234002
96	42	0.975317085234002
108	299	0.975313913453983
99	299	0.975313913453983
54	41	0.9753131604703829
36	42	0.9752611151704843
6	42	0.9752611151704843
81	42	0.9752611151704843
65	42	0.9752611151704843
36	33	0.9752611151704843
18	42	0.9752611151704843
42	177	0.9752390778524347
75	39	0.9751380172130476
110	250	0.974885854551946
16	43	0.9748327438422609
82	219	0.9748271658466748
11	219	0.9748271658466748
110	219	0.9748271658466748
61	31	0.9748232086478005
65	334	0.9747242329452548
84	334	0.9746989748274898
82	135	0.9746923725440201
110	21	0.9746923725440201
82	21	0.9746923725440201
42	135	0.9746923725440201
11	21	0.9746923725440201
11	135	0.9746923725440201
11	7	0.9746697517560398
23	39	0.9746654622554365
11	282	0.9746440135001362
110	282	0.9746440135001362
82	282	0.9746440135001362
54	38	0.9745932019959099
105	147	0.9745427862210132
25	147	0.9745427862210132
51	147	0.9745427862210132
110	296	0.9745160051234899
0	252	0.974313554555965
110	321	0.974245571231301
