disease,SnoRNA,Score
108,80,0.9686082041784588
34,110,0.9684397219932273
9,265,0.9683740670689588
34,198,0.9682860588941452
110,254,0.9682141951842458
50,44,0.9681592035858196
23,301,0.9680526431531324
23,51,0.9680526431531324
23,22,0.9680526431531324
11,98,0.96804131446783
11,106,0.96804131446783
110,106,0.96804131446783
110,98,0.96804131446783
23,119,0.9680115024852184
82,309,0.9679069319836576
24,216,0.96789885644278
76,29,0.967760351882436
72,29,0.967760351882436
85,33,0.9677376290174038
23,330,0.9677359308692108
36,31,0.9676810290876912
47,33,0.967664594982561
99,158,0.9675569350905708
61,37,0.9675502222435728
51,21,0.9672742283005542
34,101,0.9672276426394402
91,48,0.967059934398904
24,249,0.9670129239711736
71,42,0.9668875700244872
11,217,0.966865206598509
82,207,0.966810809993032
51,59,0.9667910270687506
54,243,0.9666925139851944
54,287,0.9666925139851944
54,13,0.9666925139851944
54,271,0.9666925139851944
54,140,0.9666925139851944
34,130,0.9665015862649676
31,46,0.966483144822758
71,43,0.9664585473471612
11,63,0.9663616016848388
82,45,0.9663616016848388
11,44,0.9663616016848388
11,42,0.9663616016848388
11,33,0.9663616016848388
82,44,0.9663616016848388
110,27,0.9663616016848388
110,45,0.9663616016848388
110,63,0.9663616016848388
110,44,0.9663616016848388
11,45,0.9663616016848388
110,33,0.9663616016848388
11,27,0.9663616016848388
82,33,0.9663616016848388
110,42,0.9663616016848388
82,42,0.9663616016848388
82,270,0.9662318731958496
31,42,0.9662059113212657
42,85,0.9661573975661968
110,85,0.9661573975661968
11,85,0.9661573975661968
34,122,0.9661104031385668
91,325,0.9660432867311228
110,10,0.9660260257607304
42,10,0.9660260257607304
11,10,0.9660260257607304
24,309,0.9659470169598884
23,222,0.9657885933061344
23,235,0.9657885933061344
23,160,0.9657885933061344
74,32,0.9657255107523768
74,42,0.9657255107523768
74,44,0.9657255107523768
74,45,0.9657255107523768
74,30,0.9657255107523768
74,46,0.9657255107523768
74,31,0.9657255107523768
74,27,0.9657255107523768
74,43,0.9657255107523768
53,6,0.965634627599412
34,133,0.9656256043719482
11,220,0.9654814333883284
74,252,0.9654592027008776
84,37,0.9653906062773334
34,38,0.965271676768316
74,222,0.9651475921803888
88,222,0.965074743111642
24,79,0.9650740168496578
24,264,0.9649199805217272
23,223,0.9647497089104198
21,201,0.9645892695327882
81,44,0.9645864615330773
36,44,0.9645864615330773
87,31,0.9644781385357352
66,31,0.9644781385357352
